Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
249,Clément Lenglet,fr FRA,DF,Tottenham,27-161,1995,6.3,0,0,0,0.79,0.63,0,0.48,0.63,0.79,0,0,0,4.44,2.22,1.11,66.7,Matches,4f28a6ff
250,Bernd Leno,de GER,GK,Fulham,30-266,1992,13,0,0,0,0,0.08,0,0,0,0,0,0,0,1.38,0.54,0,100,Matches,2628fd2b
251,Jefferson Lerma,co COL,MFDF,Bournemouth,28-031,1994,15,0.2,0,0,1,1.33,0.07,0.07,0.87,0.8,0,0.13,0.07,6.73,1.8,1.07,62.8,Matches,9b5ce51a
256,Jesse Lingard,eng ENG,FWMF,Nott'ham Forest,29-345,1992,9,0.11,0,0,0.89,0.78,0.22,0.33,0.44,0.33,0,0,0,4,0.11,0.22,33.3,Matches,810e3c74
257,Diego Llorente,es ESP,DF,Leeds United,29-101,1993,7,0.14,0,0,0.86,0.29,0,0.14,2.14,1.43,0,0,0,8.14,2.57,0.86,75,Matches,bba30585
258,Hugo Lloris,fr FRA,GK,Tottenham,35-334,1986,15,0,0,0,0,0.13,0,0,0,0.07,0,0,0,1.6,0.27,0.07,80,Matches,8f62b6ee
259,Renan Lodi,br BRA,DF,Nott'ham Forest,24-231,1998,5.6,0.18,0,0,1.25,2.32,0,3.39,1.79,1.07,0,0,0,6.07,0.54,0.36,60,Matches,ed9f7cfe
260,Ruben Loftus-Cheek,eng ENG,MFDF,Chelsea,26-306,1996,10.6,0.09,0,0,0.57,2.45,0.09,0.94,0.75,0.66,0,0,0.09,6.32,1.79,1.79,50,Matches,e97fd090
261,Sean Longstaff,eng ENG,MF,Newcastle Utd,25-026,1997,11.7,0.17,0,0,1.2,0.85,0.09,1.11,0.6,0.85,0,0,0,4.79,0.68,0.77,47.1,Matches,a2b105e0
263,Douglas Luiz,br BRA,MF,Aston Villa,24-200,1998,10.3,0.1,0.1,0,1.65,1.17,0,3.59,1.55,1.46,0,0,0,7.09,1.17,0.87,57.1,Matches,6f7d826d
265,Alexis Mac Allister,ar ARG,MF,Brighton,23-336,1998,14,0.29,0,0,1.14,1.43,0,1,1.43,1.93,0,0,0.07,8.86,0.64,0.21,75,Matches,83d074ff
266,James Maddison,eng ENG,MFFW,Leicester City,26-002,1996,12.2,0.41,0,0,1.23,2.38,0.16,4.51,0.74,0.82,0,0,0,3.03,0.16,0.49,25,Matches,ee38d9c5
270,Tyrell Malacia,nl NED,DF,Manchester Utd,23-100,1999,6.3,0.32,0,0,2.06,0.79,0,0.79,1.27,1.75,0,0,0,4.29,0.63,0.16,80,Matches,6b6c793c
274,Solly March,eng ENG,DFFW,Brighton,28-128,1994,13.5,0.07,0,0,1.41,1.56,0.52,4.44,0.96,0.67,0,0,0,4,1.41,1.78,44.2,Matches,bb5fbd2b
278,Martinelli,br BRA,FW,Arsenal,21-160,2001,13.1,0.08,0,0,1.6,1.45,0.38,4.81,0.53,0.53,0,0,0,3.51,0.38,1.6,19.2,Matches,48a5a5d6
279,Emiliano Martínez,ar ARG,GK,Aston Villa,30-084,1992,14.4,0.14,0,0,0,0.21,0,0,0.07,0,0,0,0,0.63,0.35,0,100,Matches,7956236f
280,Lisandro Martínez,ar ARG,DF,Manchester Utd,24-311,1998,13.4,0.22,0,0,0.9,0.52,0,0,1.42,0.97,0,0,0,5.75,1.34,0.97,58.1,Matches,bac46a10
283,Neal Maupay,fr FRA,FW,Everton,26-103,1996,6.1,0.16,0,0,1.15,1.64,0.16,0.16,0.16,0.33,0,0,0,2.13,0.82,2.13,27.8,Matches,4bcf39f6
285,Bryan Mbeumo,cm CMR,FW,Brentford,23-110,1999,12.4,0.24,0,0,0.73,0.48,0.24,3.79,0.24,0.32,0,0,0,4.03,0.81,1.29,38.5,Matches,6afaebf2
286,John McGinn,sct SCO,MF,Aston Villa,28-038,1994,11.7,0.34,0,0,1.71,2.05,0,2.14,0.94,2.05,0.09,0,0,6.58,1.11,0.6,65,Matches,90f91999
287,Scott McKenna,sct SCO,DF,Nott'ham Forest,26-013,1996,14,0.29,0,0,0.5,0.29,0,0.14,0.71,0.43,0,0.07,0,3.79,1.64,1.07,60.5,Matches,4e5a4cbc
288,Dwight McNeil,eng ENG,FWDF,Everton,23-003,1999,8.2,0.24,0,0,0.24,0.61,0.12,4.76,0.85,2.2,0,0,0,4.51,0.49,1.1,30.8,Matches,fc15fb84
289,Scott McTominay,sct SCO,MF,Manchester Utd,25-352,1996,7.1,0.7,0,0,2.54,0.56,0,0.14,1.27,1.69,0,0.14,0,6.34,2.54,1.69,60,Matches,d93c2511
290,Ben Mee,eng ENG,DF,Brentford,33-065,1989,13.4,0.07,0,0,0.37,0.52,0,0.15,1.64,0.6,0,0,0,5.37,3.66,2.01,64.5,Matches,8df7a2fb
291,Edouard Mendy,sn SEN,GK,Chelsea,30-269,1992,8.5,0.12,0,0,0,0.24,0,0,0,0,0,0,0,1.65,0.24,0,100,Matches,33887998
293,Chris Mepham,wls WAL,DF,Bournemouth,25-020,1997,13.9,0.36,0,0,0.86,0.43,0,0,0.79,0.65,0,0,0.07,3.45,1.8,1.29,58.1,Matches,fed96827
294,Illan Meslier,fr FRA,GK,Leeds United,22-268,2000,14,0,0,0,0,0.14,0,0,0.07,0,0,0,0,0.86,0.14,0,100,Matches,6b625ac2
