Player,Nation,Pos,Squad,Born,Gls,xGp90
James Justin,eng ENG,DF,Leicester City,1998,0,0.02
Mathias Jørgensen,dk DEN,DF,Brentford,1990,0,0.08
Sasa Kalajdzic,at AUT,FW,Wolves,1997,0,0.53
Boubacar Kamara,fr FRA,MF,Aston Villa,1999,0,0.01
Harry Kane,eng ENG,FW,Tottenham,1993,24,0.58
N'Golo Kanté,fr FRA,MF,Chelsea,1991,0,0.07
Michael Keane,eng ENG,DF,Everton,1993,1,0.11
Neeskens Kebano,cd COD,FW,Fulham,1992,0,0.06
Thilo Kehrer,de GER,DF,West Ham,1996,0,0.02
Naby Keïta,gn GUI,MF,Liverpool,1995,0,0.2
Lloyd Kelly,eng ENG,DF,Bournemouth,1998,0,0.01
Max Kilman,eng ENG,DF,Wolves,1997,0,0.04
Jakub Kiwior,pl POL,DF,Arsenal,2000,0,0
Mateusz Klich,pl POL,MFFW,Leeds United,1990,0,0.05
Robin Koch,de GER,DF,Leeds United,1996,0,0.03
Ibrahima Konaté,fr FRA,DF,Liverpool,1999,0,0.09
Ezri Konsa,eng ENG,DF,Aston Villa,1997,0,0.03
Kalidou Koulibaly,sn SEN,DF,Chelsea,1991,2,0.05
Cheikhou Kouyaté,sn SEN,MF,Nott'ham Forest,1989,1,0.04
Mateo Kovačić,hr CRO,MF,Chelsea,1994,1,0.1
Emil Krafth,se SWE,DF,Newcastle Utd,1994,0,0
Dejan Kulusevski,se SWE,MFFW,Tottenham,2000,2,0.1
Layvin Kurzawa,fr FRA,DF,Fulham,1992,0,0
Adam Lallana,eng ENG,MFFW,Brighton,1988,2,0.11
Tariq Lamptey,gh GHA,DF,Brighton,2000,0,0.04
Manuel Lanzini,ar ARG,MFFW,West Ham,1993,0,0.03
Aymeric Laporte,es ESP,DF,Manchester City,1994,0,0.05
Juan Larios,es ESP,DF,Southampton,2004,0,0
Jamaal Lascelles,eng ENG,DF,Newcastle Utd,1993,0,0.04
Roméo Lavia,be BEL,MF,Southampton,2004,1,0.02
Dexter Lembikisa,jm JAM,DF,Wolves,2003,0,0
Mario Lemina,ga GAB,MF,Wolves,1993,0,0.03
Clément Lenglet,fr FRA,DF,Tottenham,1995,0,0.05
Bernd Leno,de GER,GK,Fulham,1992,0,0
Jefferson Lerma,co COL,MF,Bournemouth,1994,3,0.07
Jamal Lewis,nir NIR,DF,Newcastle Utd,1998,0,0
Rico Lewis,eng ENG,DFMF,Manchester City,2004,0,0.02
Keane Lewis-Potter,eng ENG,FWMF,Brentford,2001,0,0.14
Victor Lindelöf,se SWE,DF,Manchester Utd,1994,0,0.01
Jesse Lingard,eng ENG,FWMF,Nott'ham Forest,1992,0,0.1
Diego Llorente,es ESP,DF,Leeds United,1993,0,0.1
Hugo Lloris,fr FRA,GK,Tottenham,1986,0,0
Renan Lodi,br BRA,DF,Nott'ham Forest,1998,0,0.04
Ruben Loftus-Cheek,eng ENG,MFDF,Chelsea,1996,0,0.06
Sean Longstaff,eng ENG,MF,Newcastle Utd,1997,1,0.13
Jamal Lowe,jm JAM,MFFW,Bournemouth,1994,0,0
Douglas Luiz,br BRA,MF,Aston Villa,1998,4,0.09
Saša Lukić,rs SRB,MF,Fulham,1996,0,0.04
Lyanco,br BRA,DF,Southampton,1997,0,0.03
Alexis Mac Allister,ar ARG,MF,Brighton,1998,8,0.38
James Maddison,eng ENG,MFFW,Leicester City,1996,9,0.24
Noni Madueke,eng ENG,FWDF,Chelsea,2002,0,0.12
Harry Maguire,eng ENG,DF,Manchester Utd,1993,0,0.04
Riyad Mahrez,dz ALG,FWMF,Manchester City,1991,5,0.35
Kobbie Mainoo,eng ENG,MF,Manchester Utd,2005,0,0
Ainsley Maitland-Niles,eng ENG,DFMF,Southampton,1997,0,0
Tyrell Malacia,nl NED,DF,Manchester Utd,1999,0,0.02
Orel Mangala,be BEL,MF,Nott'ham Forest,1998,1,0.05
Javier Manquillo,es ESP,DF,Newcastle Utd,1994,0,0
Sekou Mara,fr FRA,FWMF,Southampton,2002,1,0.18
Solly March,eng ENG,FWDF,Brighton,1994,7,0.27
