Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
437,Issiaga Sylla,gn GUI,DF,Toulouse,28-328,1994,11.7,0.17,0,0,1.45,1.11,0,2.99,2.14,1.2,0,0,0,7.78,0.85,0.43,66.7,Matches,b99bec05
466,Marco Verratti,it ITA,MF,Paris S-G,30-020,1992,11.7,0.43,0,0,1.2,1.71,0,0.17,1.2,2.48,0,0,0,7.69,0.26,0.34,42.9,Matches,1467af0d
201,Kévin Gameiro,fr FRA,FW,Strasbourg,35-200,1987,11.8,0,0,0,0.42,0.85,0.25,1.1,0.34,0.51,0.08,0,0,4.07,0.59,0.93,38.9,Matches,42276181
239,Mounaim El Idrissy,fr FRA,FW,Ajaccio,23-288,1999,11.8,0.34,0,0,2.88,2.97,1.02,0.93,0.25,0.93,0.17,0,0,2.2,3.56,6.69,34.7,Matches,fb0ee44e
54,Nabil Bentaleb,dz ALG,MF,Angers,28-001,1994,11.9,0,0,0,1.34,1.93,0,3.7,2.02,1.68,0,0,0,8.74,1.26,0.5,71.4,Matches,3189f61a
177,Souleyman Doumbia,ci CIV,DFFW,Angers,26-062,1996,11.9,0.17,0,0,1.18,0.92,0.25,1.85,1.26,1.34,0,0,0,6.39,0.84,0.76,52.6,Matches,9daeac61
408,Yoann Salmier,gf GUF,DF,Troyes,30-004,1992,11.9,0.25,0.08,0,1.01,1.01,0,0.25,1.68,0.92,0.08,0.08,0,5.04,1.18,0.67,63.6,Matches,c3725db2
451,Jean-Clair Todibo,fr FRA,DF,Nice,22-330,1999,11.9,0.34,0.17,0.08,1.01,0.5,0.08,0.08,0.76,1.26,0,0.08,0,7.48,1.01,1.09,48,Matches,88f130ed
38,Folarin Balogun,eng ENG,FW,Reims,21-145,2001,12,0.08,0,0,1.08,2.17,0.92,0.75,0.08,0.17,0.17,0,0,3.42,0.58,1.92,23.3,Matches,31822f8c
190,Jordan Ferri,fr FRA,MF,Montpellier,30-258,1992,12,0.25,0,0,1.33,2.42,0,1.33,0.5,1.17,0,0.17,0,9.42,0.75,0.67,52.9,Matches,375622c5
200,Gauthier Gallon,fr FRA,GK,Troyes,29-216,1993,12,0.25,0,0,0.08,0.08,0,0,0.17,0.08,0,0.08,0,1.25,0.17,0,100,Matches,db3164e1
228,Achraf Hakimi,ma MAR,DFMF,Paris S-G,24-021,1998,12,0.25,0,0,1,0.58,0.08,1.17,0.25,1.42,0,0,0,4.75,0.25,0.33,42.9,Matches,e42d61c7
256,Gedeon Kalulu,cd COD,DF,Lorient,25-088,1997,12,0.17,0,0,1,0.75,0,1.08,1.25,1,0,0,0,4.92,0.67,0.75,47.1,Matches,dd211559
294,Pau López,es ESP,GK,Marseille,27-347,1994,12,0.08,0,0,0,0.17,0,0,0,0,0,0,0,1.25,0.17,0,100,Matches,20b9f052
350,Neymar,br BRA,MFFW,Paris S-G,30-293,1992,12,0.25,0,0,1.33,3.83,0.25,3,0.17,0.75,0.08,0,0,4,0.08,0.17,33.3,Matches,69384e5d
51,Haris Belkebla,dz ALG,MF,Brest,28-301,1994,12.1,0.08,0,0,0.83,1.57,0,0.41,1.9,1.74,0,0,0,7.02,0.99,0.99,50,Matches,2b1bed19
183,Breel Embolo,ch SUI,FW,Monaco,25-284,1997,12.1,0.17,0,0,1.98,2.81,0.5,0.08,0.41,0.41,0.17,0.08,0,2.56,1.4,2.23,38.6,Matches,0b4f388a
238,Adrien Hunou,fr FRA,FWMF,Angers,28-310,1994,12.1,0.08,0,0,0.58,1.98,0.25,0.5,0,1.07,0.08,0,0,4.3,0.74,0.99,42.9,Matches,d14229f3
