Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
228,Joan Jordán,es ESP,MFDF,Sevilla,28-142,1994,7.6,0.26,0,0,1.97,0.53,0,0.13,0.66,0.92,0,0,0,6.18,0.66,0.66,50,Matches,2a0c8ba4
231,Joselu,es ESP,FW,Espanyol,32-243,1990,14,0.07,0,0,0.57,2.21,0.43,0.36,0.21,0.07,0.07,0,0,2.43,5.07,3.21,61.2,Matches,6265208f
233,Juanpe,es ESP,DF,Girona,31-209,1991,6.8,0.29,0,0,0.74,0.15,0,0.15,0.74,0.59,0,0,0,3.24,1.62,0.59,73.3,Matches,1633fc8a
235,Vinicius Júnior,br BRA,FW,Real Madrid,22-136,2000,13.6,0.22,0,0,1.69,3.6,0.66,1.4,0.37,0.81,0,0,0,3.01,0,0.29,0,Matches,7111d552
236,Kaiky,br BRA,DF,Almería,18-317,2004,5.4,0.93,0,0,1.3,0.56,0,0.19,2.04,0.93,0,0.19,0,3.52,0.93,1.3,41.7,Matches,55634fb8
237,Lee Kangin,kr KOR,MFFW,Mallorca,21-279,2001,12.1,0.33,0,0,1.4,1.57,0,5.79,0.17,0.66,0,0,0,2.64,0.25,2.15,10.3,Matches,8455ad90
242,Justin Kluivert,nl NED,FWMF,Valencia,23-204,1999,5.8,0.17,0,0,1.38,1.21,0,3.28,0.52,0.86,0.17,0,0,4.83,0.69,1.21,36.4,Matches,4c3a6744
243,Koke,es ESP,MF,Atlético Madrid,30-321,1992,8.2,0.24,0,0,0.98,1.46,0,1.59,0.12,1.59,0,0,0,5.85,0.49,0.37,57.1,Matches,55126f3b
245,Geoffrey Kondogbia,cf CTA,MF,Atlético Madrid,29-283,1993,8,0.38,0,0,1.38,0.88,0.13,0,2.25,1.5,0,0,0,9,1.25,0.88,58.8,Matches,cce181df
246,Jules Koundé,fr FRA,DF,Barcelona,24-013,1998,6.4,0,0,0,0.78,0.16,0,0.94,0.63,0.78,0,0,0,6.09,1.41,0.31,81.8,Matches,4d1666ff
247,Toni Kroos,de GER,MF,Real Madrid,32-325,1990,9.5,0.21,0.11,0.11,1.05,1.16,0,5.26,0.84,1.26,0,0,0,5.37,0.32,0.32,50,Matches,6ce1f46f
248,Takefusa Kubo,jp JPN,FWMF,Real Sociedad,21-174,2001,9.4,0,0,0,1.38,1.49,0.96,3.09,0.21,0.74,0,0,0,3.19,0.74,1.17,38.9,Matches,16aa3654
249,César de la Hoz,es ESP,MF,Almería,30-240,1992,6.5,0.62,0,0,2,0.46,0,0.15,0.77,1.08,0,0.15,0,4.15,0.92,1.08,46.2,Matches,60abea75
251,Érik Lamela,ar ARG,FWMF,Sevilla,30-266,1992,10.6,0.47,0.09,0.09,3.49,0.94,0.38,1.32,0.19,1.13,0,0,0,4.25,0.47,1.6,22.7,Matches,abe66106
255,Robin Le Normand,fr FRA,DF,Real Sociedad,26-014,1996,9.1,0.33,0,0,1.43,0.99,0.11,0,0.99,0.55,0,0,0,4.18,2.42,0.88,73.3,Matches,9a64e67e
256,Benjamin Lecomte,fr FRA,GK,Espanyol,31-213,1991,10,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0.1,1.6,0,0,,Matches,2fa2a875
257,Jeremías Ledesma,ar ARG,GK,Cádiz,29-285,1993,14,0,0,0,0.07,0.07,0,0,0.14,0,0,0.07,0,0.86,0,0,,Matches,6c4776b1
258,Florian Lejeune,fr FRA,DF,Rayo Vallecano,31-189,1991,10.5,0.38,0.1,0.1,0.86,0.29,0.19,0.1,0.57,0.48,0,0,0,3.9,1.9,0.76,71.4,Matches,6eaed4eb
259,Iñigo Lekue,es ESP,DF,Athletic Club,29-205,1993,10.5,0.1,0,0,0.95,0.29,0.1,2.57,1.14,0.86,0,0,0,8.38,1.14,0.57,66.7,Matches,59b7d823
261,Sergio León,es ESP,FW,Valladolid,33-323,1989,6.9,0,0,0,0.58,1.59,1.16,0.58,0,0.29,0,0,0,2.46,1.45,2.46,37,Matches,0a0cc13c
262,Robert Lewandowski,pl POL,FW,Barcelona,34-096,1988,11.8,0.17,0.08,0.08,1.61,1.61,0.59,0.76,0,0.34,0,0,0,1.78,1.36,1.61,45.7,Matches,8d78e732
263,Pol Lirola,es ESP,DF,Elche,25-104,1997,6.1,0.16,0,0,0.49,0.49,0,4.75,0.98,0.98,0,0,0,6.56,1.31,0.98,57.1,Matches,ff800ed8
