Player,Nation,Pos,Squad,Age,Born,Gls,xGp90
Adam Armstrong,eng ENG,FW,Southampton,26-076,1997,1,0.12
Stuart Armstrong,sct SCO,MFFW,Southampton,31-028,1992,1,0.13
Kepa Arrizabalaga,es ESP,GK,Chelsea,28-206,1994,0,0
Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,33-313,1989,1,0.26
Ludwig Augustinsson,se SWE,DF,Aston Villa,29-006,1994,0,0.1
Serge Aurier,ci CIV,DF,Nott'ham Forest,30-124,1992,1,0.04
Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,25-258,1997,4,0.48
Yasin Ayari,se SWE,MF,Brighton,19-203,2003,0,0.19
André Ayew,gh GHA,FWMF,Nott'ham Forest,33-131,1989,0,0.34
Jordan Ayew,gh GHA,FWMF,Crystal Palace,31-228,1991,3,0.11
Luke Ayling,eng ENG,DF,Leeds United,31-245,1991,1,0.12
César Azpilicueta,es ESP,DF,Chelsea,33-242,1989,0,0.03
Benoît Badiashile,fr FRA,DF,Chelsea,22-032,2001,0,0.1
Leon Bailey,jm JAM,FWMF,Aston Villa,25-261,1997,4,0.25
Stefan Bajcetic,es ESP,MF,Liverpool,18-187,2004,1,0.13
Patrick Bamford,eng ENG,FW,Leeds United,29-234,1993,3,0.5
Shandon Baptiste,gd GRN,MF,Brentford,25-019,1998,0,0.06
Harvey Barnes,eng ENG,FWMF,Leicester City,25-139,1997,10,0.3
Gavin Bazunu,ie IRL,GK,Southampton,21-066,2002,0,0
Mads Bech Sørensen,dk DEN,DFMF,Brentford,24-110,1999,0,0
Jan Bednarek,pl POL,DF,Southampton,27-015,1996,0,0.03
Jan Bednarek,pl POL,DF,Aston Villa,27-015,1996,0,0
Donny van de Beek,nl NED,MF,Manchester Utd,26-009,1997,0,0.05
Asmir Begović,ba BIH,GK,Everton,35-311,1987,0,0
Armel Bella Kotchap,de GER,DF,Southampton,21-137,2001,0,0.05
Saïd Benrahma,dz ALG,FWMF,West Ham,27-260,1995,5,0.33
Rodrigo Bentancur,uy URU,MF,Tottenham,25-306,1997,5,0.13
Victor Bernth Kristiansen,dk DEN,DF,Leicester City,20-132,2002,0,0.01
Owen Bevan,wls WAL,DF,Bournemouth,19-183,2003,0,0
Giulian Biancone,fr FRA,DF,Nott'ham Forest,23-027,2000,0,0
Philip Billing,dk DEN,MFFW,Bournemouth,26-320,1996,7,0.14
Yves Bissouma,ml MLI,MF,Tottenham,26-240,1996,0,0.02
Willy Boly,ci CIV,DF,Nott'ham Forest,32-083,1991,0,0
Sven Botman,nl NED,DF,Newcastle Utd,23-105,2000,0,0.05
Jarrod Bowen,eng ENG,FWMF,West Ham,26-128,1996,5,0.25
James Bree,eng ENG,DF,Southampton,25-198,1997,0,0
Armando Broja,al ALB,FW,Chelsea,21-229,2001,1,0.26
David Brooks,wls WAL,DFFW,Bournemouth,25-293,1997,0,0.11
Lewis Brunt,eng ENG,DF,Leicester City,22-172,2000,0,0
Bryan,es ESP,MFFW,Tottenham,22-075,2001,0,0.06
Emi Buendía,ar ARG,MFFW,Aston Villa,26-123,1996,5,0.24
Hugo Bueno,es ESP,DF,Wolves,20-221,2002,0,0.01
Facundo Buonanotte,ar ARG,MFFW,Brighton,18-125,2004,1,0.53
Dan Burn,eng ENG,DF,Newcastle Utd,30-353,1992,0,0.05
Cafú,pt POR,MF,Nott'ham Forest,30-060,1993,0,0
Moisés Caicedo,ec ECU,MF,Brighton,21-176,2001,1,0.05
Tom Cairney,sct SCO,MF,Fulham,32-097,1991,0,0.11
Duje Ćaleta-Car,hr CRO,DF,Southampton,26-222,1996,1,0.08
Dominic Calvert-Lewin,eng ENG,FW,Everton,26-042,1997,1,0.34
Chem Campbell,wls WAL,FWMF,Wolves,20-118,2002,0,0.12
João Cancelo,pt POR,DF,Manchester City,28-335,1994,2,0.06
Thomas Cannon,ie IRL,FW,Everton,20-120,2002,0,0.32
Sergi Canós,es ESP,FWDF,Brentford,26-084,1997,0,0.09
Diego Carlos,br BRA,DF,Aston Villa,30-043,1993,0,0.18
Fabio Carvalho,pt POR,MFFW,Liverpool,20-240,2002,2,0.29
Casemiro,br BRA,MF,Manchester Utd,31-063,1992,2,0.13
Matty Cash,pl POL,DF,Aston Villa,25-263,1997,0,0.01
Timothy Castagne,be BEL,DF,Leicester City,27-143,1995,2,0.07
Jonny Castro,es ESP,DF,Wolves,29-055,1994,1,0.02
Julio César Enciso,py PAR,FWMF,Brighton,19-094,2004,2,0.63
Nathaniel Chalobah,eng ENG,MF,Fulham,28-136,1994,0,0.71
Trevoh Chalobah,eng ENG,DF,Chelsea,23-296,1999,0,0.04
Calum Chambers,eng ENG,DFMF,Aston Villa,28-097,1995,0,0.01
Ben Chilwell,eng ENG,DFMF,Chelsea,26-127,1996,2,0.09
Ryan Christie,sct SCO,MFFW,Bournemouth,28-064,1995,1,0.12
Carney Chukwuemeka,eng ENG,MFFW,Chelsea,19-189,2003,0,0.11
Bobby Clark,eng ENG,MF,Liverpool,18-079,2005,0,0
Nathaniel Clyne,eng ENG,DF,Crystal Palace,32-022,1991,0,0
Conor Coady,eng ENG,DF,Everton,30-061,1993,1,0.04
Jack Colback,eng ENG,MF,Nott'ham Forest,33-185,1989,0,0
Séamus Coleman,ie IRL,DF,Everton,34-198,1988,1,0.02
Nathan Collins,ie IRL,DF,Wolves,21-362,2001,0,0.01
Levi Colwill,eng ENG,DF,Brighton,20-060,2003,0,0.07
Lewis Cook,eng ENG,MF,Bournemouth,26-083,1997,0,0.01
Steve Cook,eng ENG,DF,Nott'ham Forest,32-008,1991,0,0.01
